indiv_season_basin,serial_number,FishID,new_receiver_id,combined,latitude,longitude,datetime_utc,ReceiverID,Receiver,Transmitter,study_year,basin,receiver_order_south_north,length_mm,origin,VUE.Tag.ID,Tag.Family,tag_life_days,capture_date,datetime_local,palm_basin,year,week,julian_day,hour,date,T,died,filter_date,period,month,release_site,Date,season,Section,total_fish_group,first_season,number_of_fish,max_fish,new_season
1294850_summer_E,1294850,25835,546123_75.6502774702621_1,75.6502774702621,60.9078251119587,14.7424523583034,2018-06-28T11:53:07Z,546123,VR2AR-546123,A69-1602-25835,1,StorSiljan Ostra,22,580,Wild,A69-1602-25835,V16-4x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-28T11:53:07Z,E,2018,26,179,12,2018-06-28,1530190387,0,2018-06-07T22:00:00Z,day,6,E,2018-06-28,summer,Lake,5,summer,3,5,summer
1294849_summer_F,1294849,25834,546122_75.7413421456439_1,75.7413421456439,60.8430855578406,14.8982565878033,2018-06-28T12:03:20Z,546122,VR2AR-546122,A69-1602-25834,1,Rattviken,16,590,Hatchery,A69-1602-25834,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T12:03:20Z,F,2018,26,179,13,2018-06-28,1530191000,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,7,17,summer
1294877_summer_F,1294877,25782,546127_75.8698444016916_1,75.8698444016916,60.864689359052,15.0051550426396,2018-06-28T12:40:58Z,546127,VR2AR-546127,A69-1602-25782,1,Rattviken,14,400,Hatchery,A69-1602-25782,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T12:40:58Z,F,2018,26,179,13,2018-06-28,1530193258,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,7,17,summer
1294877_summer_F,1294877,25782,546115_75.8904321677455_1,75.8904321677455,60.8575209125427,15.0329112552028,2018-06-28T14:30:20Z,546115,VR2AR-546115,A69-1602-25782,1,Rattviken,12,400,Hatchery,A69-1602-25782,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T14:30:20Z,F,2018,26,179,15,2018-06-28,1530199820,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,8,17,summer
1294882_summer_G,1294882,25787,546116_75.7571817752587_1,75.7571817752587,60.8070406287536,14.9501411465051,2018-06-28T14:48:56Z,546116,VR2AR-546116,A69-1602-25787,1,Osterviken,7,460,Hatchery,A69-1602-25787,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-28T14:48:56Z,G,2018,26,179,15,2018-06-28,1530200936,0,2018-06-10T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,1,17,summer
1294844_summer_E,1294844,25829,546123_75.6502774702621_1,75.6502774702621,60.9078251119587,14.7424523583034,2018-06-28T14:58:31Z,546123,VR2AR-546123,A69-1602-25829,1,StorSiljan Ostra,22,660,Hatchery,A69-1602-25829,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T14:58:31Z,E,2018,26,179,15,2018-06-28,1530201511,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,8,17,summer
1294887_summer_F,1294887,25792,133492_75.7874613157755_1,75.7874613157755,60.8456971402986,14.9417641754769,2018-06-28T14:59:36Z,133492,VR2W-133492,A69-1602-25792,1,Rattviken,15,420,Hatchery,A69-1602-25792,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-28T14:59:36Z,F,2018,26,179,15,2018-06-28,1530201576,0,2018-06-10T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,9,17,summer
1294882_summer_G,1294882,25787,546117_75.7417599752206_1,75.7417599752206,60.8068904423707,14.9348695328499,2018-06-28T16:00:16Z,546117,VR2AR-546117,A69-1602-25787,1,Osterviken,6,460,Hatchery,A69-1602-25787,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-28T16:00:16Z,G,2018,26,179,17,2018-06-28,1530205216,0,2018-06-10T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,2,17,summer
1294884_summer_D,1294884,25789,546118_75.5669796837673_1,75.5669796837673,60.8311569740405,14.7358227097268,2018-06-28T16:13:43Z,546118,VR2AR-546118,A69-1602-25789,1,StorSiljan Vastra,24,460,Hatchery,A69-1602-25789,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T16:13:43Z,D,2018,26,179,17,2018-06-28,1530206023,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,2,17,summer
1294842_summer_F,1294842,25827,546121_75.7306267666146_1,75.7306267666146,60.834384209578,14.8962425570366,2018-06-28T17:57:48Z,546121,VR2AR-546121,A69-1602-25827,1,Rattviken,18,540,Hatchery,A69-1602-25827,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T17:57:48Z,F,2018,26,179,18,2018-06-28,1530212268,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,6,17,summer
1294879_summer_F,1294879,25784,546120_75.934974785613_1,75.934974785613,60.8824378374793,15.0525369481337,2018-06-28T19:38:15Z,546120,VR2AR-546120,A69-1602-25784,1,Rattviken,11,460,Hatchery,A69-1602-25784,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T19:38:15Z,F,2018,26,179,20,2018-06-28,1530218295,0,2018-06-09T22:00:00Z,day,6,D,2018-06-28,summer,Lake,17,summer,5,17,summer
1294877_summer_F,1294877,25782,546119_75.8552507174427_1,75.8552507174427,60.8736483262433,14.9816023911994,2018-06-29T02:05:57Z,546119,VR2AR-546119,A69-1602-25782,1,Rattviken,13,400,Hatchery,A69-1602-25782,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-29T02:05:57Z,F,2018,26,180,3,2018-06-29,1530241557,0,2018-06-09T22:00:00Z,day,6,E,2018-06-29,summer,Lake,17,summer,6,17,summer
1294844_summer_D,1294844,25829,546114_75.5314801354852_1,75.5314801354852,60.8697049995027,14.6617751359825,2018-06-29T03:02:25Z,546114,VR2AR-546114,A69-1602-25829,1,StorSiljan Vastra,26,660,Hatchery,A69-1602-25829,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-29T03:02:25Z,D,2018,26,180,4,2018-06-29,1530244945,0,2018-06-09T22:00:00Z,day,6,E,2018-06-29,summer,Lake,17,summer,4,17,summer
1294841_summer_D,1294841,25826,546125_75.614074772245_1,75.614074772245,60.8711056593271,14.7429691129179,2018-06-29T03:21:55Z,546125,VR2AR-546125,A69-1602-25826,1,StorSiljan mitt,23,610,Wild,A69-1602-25826,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-29T03:21:55Z,D,2018,26,180,4,2018-06-29,1530246115,0,2018-06-09T22:00:00Z,day,6,E,2018-06-29,summer,Lake,5,summer,2,5,summer
1294844_summer_C,1294844,25829,105625_75.4565661186258_1,75.4565661186258,60.9033885824788,14.553177536147,2018-06-29T10:28:10Z,105625,VR2W-105625,A69-1602-25829,1,Gesundafjarden,30,660,Hatchery,A69-1602-25829,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-29T10:28:10Z,C,2018,26,180,11,2018-06-29,1530271690,0,2018-06-09T22:00:00Z,day,6,E,2018-06-29,summer,Lake,17,summer,1,17,summer
1294853_summer_F,1294853,25758,133492_75.7874613157755_1,75.7874613157755,60.8456971402986,14.9417641754769,2018-06-29T17:58:04Z,133492,VR2W-133492,A69-1602-25758,1,Rattviken,15,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-29T17:58:04Z,F,2018,26,180,18,2018-06-29,1530298684,0,2018-06-10T22:00:00Z,day,6,E,2018-06-29,summer,Lake,5,summer,1,5,summer
1294846_summer_E,1294846,25831,546113_75.703483613714_1,75.703483613714,60.8711300249527,14.8323535887613,2018-06-30T01:04:39Z,546113,VR2AR-546113,A69-1602-25831,1,StorSiljan Ostra,20,520,Hatchery,A69-1602-25831,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-30T01:04:39Z,E,2018,26,181,2,2018-06-30,1530324279,0,2018-06-09T22:00:00Z,night,6,E,2018-06-30,summer,Lake,17,summer,2,17,summer
1294846_summer_Noret,1294846,25831,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-30T13:19:58Z,108711,VR2W-108711,A69-1602-25831,1,Noret,38,520,Hatchery,A69-1602-25831,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-30T13:19:58Z,Noret,2018,26,181,14,2018-06-30,1530368398,0,2018-06-09T22:00:00Z,day,6,E,2018-06-30,summer,Lake,17,summer,1,17,summer
1294850_summer_D,1294850,25835,546114_75.5314801354852_1,75.5314801354852,60.8697049995027,14.6617751359825,2018-06-30T23:20:12Z,546114,VR2AR-546114,A69-1602-25835,1,StorSiljan Vastra,26,580,Wild,A69-1602-25835,V16-4x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-30T23:20:12Z,D,2018,26,182,0,2018-06-30,1530404412,0,2018-06-07T22:00:00Z,night,7,E,2018-06-30,summer,Lake,5,summer,1,5,summer
1294884_summer_E,1294884,25789,546123_75.6502774702621_1,75.6502774702621,60.9078251119587,14.7424523583034,2018-07-01T23:00:19Z,546123,VR2AR-546123,A69-1602-25789,1,StorSiljan Ostra,22,460,Hatchery,A69-1602-25789,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-07-01T23:00:19Z,E,2018,27,183,0,2018-07-01,1530489619,0,2018-06-09T22:00:00Z,night,7,E,2018-07-01,summer,Lake,17,summer,6,17,summer
1294851_summer_B,1294851,25836,546126_75.567263143231_1,75.567263143231,60.9464486058042,14.6208145374268,2018-07-01T23:00:24Z,546126,VR2AR-546126,A69-1602-25836,1,Norrviken,35,630,Hatchery,A69-1602-25836,V16-4x-069k-1,1825,2018-06-06T22:00:00Z,2018-07-01T23:00:24Z,B,2018,27,183,0,2018-07-01,1530489624,0,2018-06-07T22:00:00Z,night,7,E,2018-07-01,summer,Lake,17,summer,5,17,summer
1294842_summer_F,1294842,25827,546122_75.7413421456439_1,75.7413421456439,60.8430855578406,14.8982565878033,2018-07-01T23:01:06Z,546122,VR2AR-546122,A69-1602-25827,1,Rattviken,16,540,Hatchery,A69-1602-25827,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-07-01T23:01:06Z,F,2018,27,183,0,2018-07-01,1530489666,0,2018-06-09T22:00:00Z,night,7,E,2018-07-01,summer,Lake,17,summer,7,17,summer
